"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUAD","169b5555-f64c-4bbd-9c07-af0c42ddb6aa","TCGA-78-8640-01A-11R-2403-07","TCGA-78-8640","Primary Tumor","EPHB2","ENSG00000133216",499,3.1996,1.1666,1.1512,"OK"
"TCGA-LUAD","b817c1a8-7e62-423e-b7e0-eb9136fe0455","TCGA-64-5779-01A-01R-1628-07","TCGA-64-5779","Primary Tumor","JAK3","ENSG00000105639",1760,19.0022,9.6113,9.0807,"OK"
"TCGA-LUAD","b817c1a8-7e62-423e-b7e0-eb9136fe0455","TCGA-64-5779-01A-01R-1628-07","TCGA-64-5779","Primary Tumor","EPHB2","ENSG00000133216",1636,9.615,4.8633,4.5947,"OK"
"TCGA-LUAD","de0b900f-151a-4173-a070-3ec31ec05aed","TCGA-83-5908-01A-21R-2287-07","TCGA-83-5908","Primary Tumor","JAK3","ENSG00000105639",3107,32.5708,8.5646,8.2151,"OK"
"TCGA-LUAD","de0b900f-151a-4173-a070-3ec31ec05aed","TCGA-83-5908-01A-21R-2287-07","TCGA-83-5908","Primary Tumor","EPHB2","ENSG00000133216",3747,21.3818,5.6224,5.393,"OK"
"TCGA-LUAD","7bc6d1c2-7d78-4b67-9c0d-8a836047f721","TCGA-L4-A4E6-01A-11R-A24H-07","TCGA-L4-A4E6","Primary Tumor","JAK3","ENSG00000105639",1148,11.6417,4.0048,4.5621,"OK"
"TCGA-LUAD","7bc6d1c2-7d78-4b67-9c0d-8a836047f721","TCGA-L4-A4E6-01A-11R-A24H-07","TCGA-L4-A4E6","Primary Tumor","EPHB2","ENSG00000133216",1041,5.7464,1.9768,2.2519,"OK"
"TCGA-LUAD","dc782ae2-13ec-4fcd-bae7-cafa8280d5ee","TCGA-44-6144-11A-01R-1755-07","TCGA-44-6144","Solid Tissue Normal","JAK3","ENSG00000105639",539,7.1809,2.1411,2.3542,"OK"
"TCGA-LUAD","dc782ae2-13ec-4fcd-bae7-cafa8280d5ee","TCGA-44-6144-11A-01R-1755-07","TCGA-44-6144","Solid Tissue Normal","EPHB2","ENSG00000133216",230,1.668,0.4973,0.5468,"OK"
"TCGA-LUAD","667a9066-debb-4f43-94f7-3277e66d8991","TCGA-75-6211-01A-11R-1755-07","TCGA-75-6211","Primary Tumor","JAK3","ENSG00000105639",685,9.8412,3.5452,3.359,"OK"
"TCGA-LUAD","667a9066-debb-4f43-94f7-3277e66d8991","TCGA-75-6211-01A-11R-1755-07","TCGA-75-6211","Primary Tumor","EPHB2","ENSG00000133216",204,1.5954,0.5747,0.5445,"OK"
"TCGA-LUAD","f7d58012-79f4-440f-add6-8a00728e96ba","TCGA-73-A9RS-01A-11R-A41B-07","TCGA-73-A9RS","Primary Tumor","JAK3","ENSG00000105639",413,8.2816,2.8156,2.7089,"OK"
"TCGA-LUAD","f7d58012-79f4-440f-add6-8a00728e96ba","TCGA-73-A9RS-01A-11R-A41B-07","TCGA-73-A9RS","Primary Tumor","EPHB2","ENSG00000133216",48,0.5239,0.1781,0.1714,"OK"
"TCGA-LUAD","a6298ad5-dd68-44f6-85cf-f1d2c7673aa3","TCGA-44-6777-11A-01R-1858-07","TCGA-44-6777","Solid Tissue Normal","JAK3","ENSG00000105639",434,6.6535,2.1259,2.4084,"OK"
"TCGA-LUAD","a6298ad5-dd68-44f6-85cf-f1d2c7673aa3","TCGA-44-6777-11A-01R-1858-07","TCGA-44-6777","Solid Tissue Normal","EPHB2","ENSG00000133216",337,2.8123,0.8986,1.018,"OK"
"TCGA-LUAD","71ac888b-0acc-4cfd-a21a-4c9ff8d06bf9","TCGA-86-8585-01A-11R-2403-07","TCGA-86-8585","Primary Tumor","JAK3","ENSG00000105639",1665,21.4171,8.0615,8.5024,"OK"
"TCGA-LUAD","71ac888b-0acc-4cfd-a21a-4c9ff8d06bf9","TCGA-86-8585-01A-11R-2403-07","TCGA-86-8585","Primary Tumor","EPHB2","ENSG00000133216",192,1.3444,0.506,0.5337,"OK"
"TCGA-LUAD","9bdba133-a1e0-4482-add2-af6493ebdbe5","TCGA-86-8055-01A-11R-2241-07","TCGA-86-8055","Primary Tumor","JAK3","ENSG00000105639",2003,16.0894,4.6024,4.6946,"OK"
"TCGA-LUAD","9bdba133-a1e0-4482-add2-af6493ebdbe5","TCGA-86-8055-01A-11R-2241-07","TCGA-86-8055","Primary Tumor","EPHB2","ENSG00000133216",3529,15.4306,4.414,4.5024,"OK"
"TCGA-LUAD","3cd897bd-893e-4497-b9a5-56141816cff4","TCGA-44-6774-01A-21R-1858-07","TCGA-44-6774","Primary Tumor","JAK3","ENSG00000105639",679,14.0521,4.1168,4.6825,"OK"
"TCGA-LUAD","3cd897bd-893e-4497-b9a5-56141816cff4","TCGA-44-6774-01A-21R-1858-07","TCGA-44-6774","Primary Tumor","EPHB2","ENSG00000133216",1178,13.2706,3.8878,4.4221,"OK"
"TCGA-LUAD","a308da6a-7eec-4a96-8884-d6ea49637744","TCGA-05-4398-01A-01R-1206-07","TCGA-05-4398","Primary Tumor","JAK3","ENSG00000105639",3842,17.5587,5.8804,5.9323,"OK"
"TCGA-LUAD","a308da6a-7eec-4a96-8884-d6ea49637744","TCGA-05-4398-01A-01R-1206-07","TCGA-05-4398","Primary Tumor","EPHB2","ENSG00000133216",6285,15.6356,5.2363,5.2826,"OK"
"TCGA-LUAD","18be89fe-3383-45a2-9c0e-b1246e88c82d","TCGA-55-8096-01A-11R-2241-07","TCGA-55-8096","Primary Tumor","JAK3","ENSG00000105639",3181,18.3075,6.6233,7.0471,"OK"
"TCGA-LUAD","18be89fe-3383-45a2-9c0e-b1246e88c82d","TCGA-55-8096-01A-11R-2241-07","TCGA-55-8096","Primary Tumor","EPHB2","ENSG00000133216",1980,6.203,2.2441,2.3877,"OK"
"TCGA-LUAD","df452e00-a7e9-4045-83fb-623885a542d4","TCGA-MP-A4TD-01A-32R-A262-07","TCGA-MP-A4TD","Primary Tumor","JAK3","ENSG00000105639",2248,18.7677,7.8185,8.08,"OK"
"TCGA-LUAD","df452e00-a7e9-4045-83fb-623885a542d4","TCGA-MP-A4TD-01A-32R-A262-07","TCGA-MP-A4TD","Primary Tumor","EPHB2","ENSG00000133216",1566,7.1167,2.9648,3.0639,"OK"
"TCGA-LUAD","270a13b3-158c-4251-8c6a-5bc5275e0ebb","TCGA-97-A4M2-01A-12R-A24X-07","TCGA-97-A4M2","Primary Tumor","JAK3","ENSG00000105639",1864,16.4153,6.1365,6.1807,"OK"
"TCGA-LUAD","270a13b3-158c-4251-8c6a-5bc5275e0ebb","TCGA-97-A4M2-01A-12R-A24X-07","TCGA-97-A4M2","Primary Tumor","EPHB2","ENSG00000133216",891,4.2712,1.5967,1.6082,"OK"
"TCGA-LUAD","9796354a-6ac6-466b-a82b-f1e9785bc447","TCGA-L9-A443-01A-12R-A24H-07","TCGA-L9-A443","Primary Tumor","JAK3","ENSG00000105639",1496,18.4698,5.8873,6.0383,"OK"
"TCGA-LUAD","9796354a-6ac6-466b-a82b-f1e9785bc447","TCGA-L9-A443-01A-12R-A24H-07","TCGA-L9-A443","Primary Tumor","EPHB2","ENSG00000133216",1577,10.5983,3.3782,3.4649,"OK"
"TCGA-LUAD","b5b25f89-cd67-44e5-89bd-be2bc1def4d8","TCGA-95-7567-01A-11R-2066-07","TCGA-95-7567","Primary Tumor","JAK3","ENSG00000105639",2728,16.6733,5.7796,5.7414,"OK"
"TCGA-LUAD","b5b25f89-cd67-44e5-89bd-be2bc1def4d8","TCGA-95-7567-01A-11R-2066-07","TCGA-95-7567","Primary Tumor","EPHB2","ENSG00000133216",1880,6.2547,2.1681,2.1538,"OK"
"TCGA-LUAD","0ece8b9b-d1c3-4f03-b70d-6bc06c6f52ce","TCGA-55-A492-01A-11R-A24H-07","TCGA-55-A492","Primary Tumor","JAK3","ENSG00000105639",547,4.7731,1.7748,2.2183,"OK"
"TCGA-LUAD","0ece8b9b-d1c3-4f03-b70d-6bc06c6f52ce","TCGA-55-A492-01A-11R-A24H-07","TCGA-55-A492","Primary Tumor","EPHB2","ENSG00000133216",319,1.5152,0.5634,0.7042,"OK"
"TCGA-LUAD","bbb70a6e-a91c-4c67-9ec0-b33185ab4f8d","TCGA-44-3396-01A-01R-1206-07","TCGA-44-3396","Primary Tumor","JAK3","ENSG00000105639",4404,17.1684,7.3477,7.2477,"OK"
"TCGA-LUAD","bbb70a6e-a91c-4c67-9ec0-b33185ab4f8d","TCGA-44-3396-01A-01R-1206-07","TCGA-44-3396","Primary Tumor","EPHB2","ENSG00000133216",8786,18.6444,7.9794,7.8707,"OK"
"TCGA-LUAD","475fdbbb-3d3a-4d56-8d0e-34dfb8cb6346","TCGA-44-7672-01A-11R-2066-07","TCGA-44-7672","Primary Tumor","JAK3","ENSG00000105639",2673,14.9218,7.2692,7.7033,"OK"
"TCGA-LUAD","475fdbbb-3d3a-4d56-8d0e-34dfb8cb6346","TCGA-44-7672-01A-11R-2066-07","TCGA-44-7672","Primary Tumor","EPHB2","ENSG00000133216",1532,4.6554,2.2679,2.4033,"OK"
"TCGA-LUAD","87d1edd3-df03-4046-a888-86baa85639b6","TCGA-69-7974-01A-11R-2187-07","TCGA-69-7974","Primary Tumor","JAK3","ENSG00000105639",3022,23.1189,6.3303,6.5717,"OK"
"TCGA-LUAD","87d1edd3-df03-4046-a888-86baa85639b6","TCGA-69-7974-01A-11R-2187-07","TCGA-69-7974","Primary Tumor","EPHB2","ENSG00000133216",5456,22.7206,6.2212,6.4585,"OK"
"TCGA-LUAD","dfc3bc40-b667-4f75-a932-4074c0b0c408","TCGA-64-5781-01A-01R-1628-07","TCGA-64-5781","Primary Tumor","JAK3","ENSG00000105639",845,9.7081,3.7856,4.1031,"OK"
"TCGA-LUAD","dfc3bc40-b667-4f75-a932-4074c0b0c408","TCGA-64-5781-01A-01R-1628-07","TCGA-64-5781","Primary Tumor","EPHB2","ENSG00000133216",1154,7.217,2.8142,3.0503,"OK"
"TCGA-LUAD","3baa9c28-dfb3-4ec3-9e3c-1d2f1421b00f","TCGA-55-A4DG-01A-11R-A24H-07","TCGA-55-A4DG","Primary Tumor","JAK3","ENSG00000105639",1877,20.1366,7.3786,6.8341,"OK"
"TCGA-LUAD","3baa9c28-dfb3-4ec3-9e3c-1d2f1421b00f","TCGA-55-A4DG-01A-11R-A24H-07","TCGA-55-A4DG","Primary Tumor","EPHB2","ENSG00000133216",566,3.3053,1.2112,1.1218,"OK"
"TCGA-LUAD","77b2c8e8-d630-4b66-be6e-db594df4e0ec","TCGA-67-4679-01B-01R-1755-07","TCGA-67-4679","Primary Tumor","JAK3","ENSG00000105639",479,5.6596,1.833,1.9864,"OK"
"TCGA-LUAD","77b2c8e8-d630-4b66-be6e-db594df4e0ec","TCGA-67-4679-01B-01R-1755-07","TCGA-67-4679","Primary Tumor","EPHB2","ENSG00000133216",623,4.0069,1.2977,1.4064,"OK"
"TCGA-LUAD","d54e9279-578f-40cd-8e55-fbd7af5279dd","TCGA-MP-A4T7-01A-11R-A24X-07","TCGA-MP-A4T7","Primary Tumor","JAK3","ENSG00000105639",1081,9.7341,3.2786,3.4359,"OK"
"TCGA-LUAD","d54e9279-578f-40cd-8e55-fbd7af5279dd","TCGA-MP-A4T7-01A-11R-A24X-07","TCGA-MP-A4T7","Primary Tumor","EPHB2","ENSG00000133216",679,3.3282,1.121,1.1748,"OK"
"TCGA-LUAD","15998b11-5041-4e2d-94d9-cf714c796c13","TCGA-69-8253-01A-11R-2287-07","TCGA-69-8253","Primary Tumor","JAK3","ENSG00000105639",1083,6.0524,1.9832,2.278,"OK"
"TCGA-LUAD","15998b11-5041-4e2d-94d9-cf714c796c13","TCGA-69-8253-01A-11R-2287-07","TCGA-69-8253","Primary Tumor","EPHB2","ENSG00000133216",1296,3.9425,1.2918,1.4839,"OK"
"TCGA-LUAD","bbb426a9-806b-4417-a3cd-4dd1b0c87792","TCGA-55-6978-11A-01R-1949-07","TCGA-55-6978","Solid Tissue Normal","JAK3","ENSG00000105639",446,8.0135,2.3995,2.4095,"OK"
"TCGA-LUAD","bbb426a9-806b-4417-a3cd-4dd1b0c87792","TCGA-55-6978-11A-01R-1949-07","TCGA-55-6978","Solid Tissue Normal","EPHB2","ENSG00000133216",140,1.3693,0.41,0.4117,"OK"
"TCGA-LUAD","201c0fbc-124c-4ef0-b767-393443a47892","TCGA-44-2656-01A-02R-A278-07","TCGA-44-2656","Primary Tumor","JAK3","ENSG00000105639",1503,12.19,4.6418,4.504,"OK"
"TCGA-LUAD","201c0fbc-124c-4ef0-b767-393443a47892","TCGA-44-2656-01A-02R-A278-07","TCGA-44-2656","Primary Tumor","EPHB2","ENSG00000133216",495,2.1854,0.8322,0.8074,"OK"
