"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","TCGA-2F-A9KQ-01A-11R-A38B-07","TCGA-2F-A9KQ","Primary Tumor","5aa5487c-3782-4a9f-9b55-72f9d7d94684","ENSG00000105639.20","JAK3",483,4.3015,1.5673,1.6699,"OK"
"TCGA-BLCA","TCGA-FD-A6TB-01A-12R-A33J-07","TCGA-FD-A6TB","Primary Tumor","4f9f672d-2d55-4500-a2ae-509b50fc134d","ENSG00000105639.20","JAK3",2560,23.6785,8.0298,7.9112,"OK"
"TCGA-BLCA","TCGA-UY-A9PA-01A-11R-A38B-07","TCGA-UY-A9PA","Primary Tumor","4c98cba9-9640-4e1f-8ae0-292b5d74f8c1","ENSG00000105639.20","JAK3",613,9.1385,2.7494,2.8111,"OK"
"TCGA-BLCA","TCGA-BT-A20V-01A-11R-A14Y-07","TCGA-BT-A20V","Primary Tumor","094bd0ca-5f46-4ff7-b674-04c5b9001951","ENSG00000105639.20","JAK3",1869,31.0476,8.8708,8.5863,"OK"
"TCGA-BLCA","TCGA-DK-A2HX-01A-12R-A18C-07","TCGA-DK-A2HX","Primary Tumor","645e996a-b069-478d-b1ca-7764d5134581","ENSG00000105639.20","JAK3",829,6.7599,1.8722,2.0647,"OK"
"TCGA-BLCA","TCGA-XF-AAN1-01A-31R-A42T-07","TCGA-XF-AAN1","Primary Tumor","4b71a25a-f25b-4804-8b46-4e90bbbd839b","ENSG00000105639.20","JAK3",394,5.7036,2.0145,2.0315,"OK"
"TCGA-BLCA","TCGA-5N-A9KI-01A-31R-A42T-07","TCGA-5N-A9KI","Primary Tumor","934e6b81-7ea8-4575-ba51-44993cfda7c3","ENSG00000105639.20","JAK3",760,7.1695,2.366,2.5073,"OK"
"TCGA-BLCA","TCGA-FD-A3SJ-01A-12R-A22U-07","TCGA-FD-A3SJ","Primary Tumor","c8e705f2-4c12-4f61-8b9e-985516589a2c","ENSG00000105639.20","JAK3",590,4.0604,1.3034,1.3062,"OK"
"TCGA-BLCA","TCGA-R3-A69X-01A-22R-A30C-07","TCGA-R3-A69X","Primary Tumor","96870eaf-bb4e-4896-87a0-b1e0d2078d73","ENSG00000105639.20","JAK3",1203,12.6093,3.557,3.3345,"OK"
"TCGA-BLCA","TCGA-GU-A762-01A-11R-A33J-07","TCGA-GU-A762","Primary Tumor","e5f4c2b3-d0b3-4c15-8dd8-a511cdeb3aee","ENSG00000105639.20","JAK3",2467,23.4362,7.9543,8.9464,"OK"
"TCGA-BLCA","TCGA-FD-A5BX-01A-11R-A26T-07","TCGA-FD-A5BX","Primary Tumor","bd52f6c8-6f8b-4056-8a3e-8cdc96644952","ENSG00000105639.20","JAK3",3483,42.6742,13.7657,17.6285,"OK"
"TCGA-BLCA","TCGA-4Z-AA7N-01A-11R-A39I-07","TCGA-4Z-AA7N","Primary Tumor","7a542299-ad43-4ea6-91a8-2597139e3250","ENSG00000105639.20","JAK3",2685,48.7839,17.2241,17.1586,"OK"
"TCGA-BLCA","TCGA-ZF-A9RM-01A-11R-A38B-07","TCGA-ZF-A9RM","Primary Tumor","fdd30c10-1cff-49c4-8acc-a1fc9f3dda83","ENSG00000105639.20","JAK3",432,4.8678,1.3839,1.2308,"OK"
"TCGA-BLCA","TCGA-4Z-AA83-01A-11R-A39I-07","TCGA-4Z-AA83","Primary Tumor","97b0d812-02d4-49b5-9865-d123d2d39f6d","ENSG00000105639.20","JAK3",556,7.0344,2.5551,2.6605,"OK"
"TCGA-BLCA","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-CU-A0YR","Solid Tissue Normal","2725f72c-af0a-40d0-a3eb-2288a0a1fa41","ENSG00000105639.20","JAK3",491,6.3549,1.8636,2.1217,"OK"
"TCGA-BLCA","TCGA-CU-A0YR-01A-12R-A10U-07","TCGA-CU-A0YR","Primary Tumor","35cfd54c-8c39-4f17-8bcb-3bff3ed2169a","ENSG00000105639.20","JAK3",577,5.8059,2.1807,2.3658,"OK"
"TCGA-BLCA","TCGA-FD-A43X-01A-11R-A23W-07","TCGA-FD-A43X","Primary Tumor","212e820f-8d2f-47e4-af5a-b9d5d0f828ea","ENSG00000105639.20","JAK3",590,4.6221,1.6055,1.7312,"OK"
"TCGA-BLCA","TCGA-DK-A3IT-01A-31R-A20F-07","TCGA-DK-A3IT","Primary Tumor","960daf2a-8884-43bd-ab4f-06dadf4f8f61","ENSG00000105639.20","JAK3",1279,11.1419,3.8125,3.7288,"OK"
"TCGA-BLCA","TCGA-CU-A3KJ-01A-11R-A21D-07","TCGA-CU-A3KJ","Primary Tumor","48c72fa3-43b5-4a3f-a712-afce30a963b4","ENSG00000105639.20","JAK3",1200,6.8457,2.2568,2.5286,"OK"
"TCGA-BLCA","TCGA-DK-A2I6-01A-12R-A18C-07","TCGA-DK-A2I6","Primary Tumor","a57fab5c-b3a2-46b8-be89-dbbd0444a2ad","ENSG00000105639.20","JAK3",894,5.3092,1.8729,2.0342,"OK"
"TCGA-BLCA","TCGA-DK-A3IN-01A-11R-A20F-07","TCGA-DK-A3IN","Primary Tumor","a05117b2-0fd4-4f04-91b7-329a9862ce85","ENSG00000105639.20","JAK3",1197,10.5378,3.3302,3.2931,"OK"
"TCGA-BLCA","TCGA-DK-A3IQ-01A-31R-A32Y-07","TCGA-DK-A3IQ","Primary Tumor","04be771c-5256-4c74-ab24-83ba23db4b8b","ENSG00000105639.20","JAK3",511,5.3086,1.3983,1.8977,"OK"
"TCGA-BLCA","TCGA-K4-A3WS-01A-11R-A22U-07","TCGA-K4-A3WS","Primary Tumor","23c5c858-c993-4532-a343-9a39d10dba76","ENSG00000105639.20","JAK3",1258,12.6525,4.1931,4.3435,"OK"
"TCGA-BLCA","TCGA-CF-A9FM-01A-11R-A38B-07","TCGA-CF-A9FM","Primary Tumor","085c6f32-93b3-4047-b165-bc486c3959db","ENSG00000105639.20","JAK3",390,4.7465,1.4371,1.3484,"OK"
"TCGA-BLCA","TCGA-BL-A0C8-01A-11R-A10U-07","TCGA-BL-A0C8","Primary Tumor","dd578d7c-9577-4bda-a1b1-1fd063206537","ENSG00000105639.20","JAK3",805,8.8751,3.2246,3.4549,"OK"
"TCGA-BLCA","TCGA-BL-A0C8-01A-11R-A277-07","TCGA-BL-A0C8","Primary Tumor","49a6de74-9360-4347-a594-d64d5aa5ce9e","ENSG00000105639.20","JAK3",789,7.8114,3.6416,3.4114,"OK"
"TCGA-BLCA","TCGA-YF-AA3M-01A-11R-A42T-07","TCGA-YF-AA3M","Primary Tumor","b82f5de5-c3aa-4675-b2ce-46b2a773888b","ENSG00000105639.20","JAK3",595,10.3929,3.2647,3.2712,"OK"
"TCGA-BLCA","TCGA-CU-A0YO-01A-11R-A10U-07","TCGA-CU-A0YO","Primary Tumor","1b70e7f7-f918-415f-bfee-039e445e2208","ENSG00000105639.20","JAK3",559,5.1168,1.987,2.1752,"OK"
"TCGA-BLCA","TCGA-DK-A2I1-01A-11R-A180-07","TCGA-DK-A2I1","Primary Tumor","a8c61671-89cb-43bc-8c88-5c107954d11c","ENSG00000105639.20","JAK3",1025,6.6024,2.8435,3.4753,"OK"
