"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-KIRC","TCGA-A3-3319-01A-02R-1325-07","TCGA-A3-3319","Primary Tumor","afe81650-e131-41ab-81e9-0ecb888b1420","ENSG00000105639.20","JAK3",5116,31.5597,10.8378,13.1364,"OK"
"TCGA-KIRC","TCGA-A3-3373-01A-02R-1420-07","TCGA-A3-3373","Primary Tumor","fba70eac-57d4-468f-bbfc-859628c54dec","ENSG00000105639.20","JAK3",634,3.8627,1.2403,1.3065,"OK"
"TCGA-KIRC","TCGA-EU-5905-01A-11R-1672-07","TCGA-EU-5905","Primary Tumor","d9da2793-4334-4b17-b234-172705dca082","ENSG00000105639.20","JAK3",1753,28.6761,7.2177,7.982,"OK"
"TCGA-KIRC","TCGA-B0-4839-01A-01R-1305-07","TCGA-B0-4839","Primary Tumor","6d8bf03c-2f7c-45b1-b81c-1de9d5085960","ENSG00000105639.20","JAK3",1336,7.6203,3.5573,4.9687,"OK"
"TCGA-KIRC","TCGA-B0-4814-01A-01R-1277-07","TCGA-B0-4814","Primary Tumor","831bedf9-e67d-4a2a-b0a7-6d6c92edf77a","ENSG00000105639.20","JAK3",993,9.2914,2.9444,3.0622,"OK"
"TCGA-KIRC","TCGA-CZ-5461-01A-01R-1503-07","TCGA-CZ-5461","Primary Tumor","040bcb51-b1dd-4666-819f-3ffed0b5ebb0","ENSG00000105639.20","JAK3",2433,16.1301,4.6914,4.6928,"OK"
"TCGA-KIRC","TCGA-B0-5081-01A-01R-1334-07","TCGA-B0-5081","Primary Tumor","164a6eaa-7f88-4687-a7e1-b907c468766e","ENSG00000105639.20","JAK3",8271,38.612,17.1977,20.737,"OK"
"TCGA-KIRC","TCGA-CZ-5461-11A-01R-1503-07","TCGA-CZ-5461","Solid Tissue Normal","7d7719e1-5451-4ec0-a3d6-99aaaf640bcd","ENSG00000105639.20","JAK3",494,2.5926,0.8722,0.8957,"OK"
"TCGA-KIRC","TCGA-B4-5378-01A-01R-1503-07","TCGA-B4-5378","Primary Tumor","79b8911f-fabb-416e-9b80-2f55080192c3","ENSG00000105639.20","JAK3",983,8.7441,2.1928,2.1365,"OK"
"TCGA-KIRC","TCGA-CJ-4884-01A-01R-1305-07","TCGA-CJ-4884","Primary Tumor","0bbde4ab-4f9d-478b-a168-055e489b53f2","ENSG00000105639.20","JAK3",1427,7.9712,3.2099,3.5708,"OK"
"TCGA-KIRC","TCGA-BP-4959-01A-01R-1334-07","TCGA-BP-4959","Primary Tumor","bacd130e-c30f-40aa-8e9e-ef8076f7a6db","ENSG00000105639.20","JAK3",1180,6.3647,2.3247,2.6802,"OK"
"TCGA-KIRC","TCGA-CZ-5466-01A-01R-1503-07","TCGA-CZ-5466","Primary Tumor","edc7b71d-a551-463e-a76a-dc135373cb43","ENSG00000105639.20","JAK3",1422,13.2652,4.6093,5.2537,"OK"
"TCGA-KIRC","TCGA-B0-4811-01A-01R-1503-07","TCGA-B0-4811","Primary Tumor","6df1efd7-bd1b-4c00-8cbb-eb1b6b7c78b6","ENSG00000105639.20","JAK3",2125,9.6812,5.2977,7.7572,"OK"
"TCGA-KIRC","TCGA-CZ-5453-11A-01R-1503-07","TCGA-CZ-5453","Solid Tissue Normal","dbe50f57-74d7-4b5f-a996-dfc8d9874d55","ENSG00000105639.20","JAK3",360,2.4805,0.726,0.6942,"OK"
"TCGA-KIRC","TCGA-CJ-5680-11A-01R-1541-07","TCGA-CJ-5680","Solid Tissue Normal","a56c9911-e164-4572-aef8-37754ee056e3","ENSG00000105639.20","JAK3",852,8.2802,2.2977,2.154,"OK"
"TCGA-KIRC","TCGA-EU-5906-01A-11R-1672-07","TCGA-EU-5906","Primary Tumor","2a8ed8a3-37a6-4492-823c-a86f392d0c44","ENSG00000105639.20","JAK3",1113,7.9987,2.0029,1.9452,"OK"
"TCGA-KIRC","TCGA-B0-4852-01A-01R-1503-07","TCGA-B0-4852","Primary Tumor","3e2569b7-b145-4bda-9bdf-24105aefe42c","ENSG00000105639.20","JAK3",1501,6.7377,2.3894,2.5379,"OK"
"TCGA-KIRC","TCGA-B4-5832-01A-11R-1672-07","TCGA-B4-5832","Primary Tumor","d91f4d1a-4628-446c-a696-8839c8f62d90","ENSG00000105639.20","JAK3",521,7.4702,2.0476,2.467,"OK"
"TCGA-KIRC","TCGA-CJ-4875-01A-01R-1305-07","TCGA-CJ-4875","Primary Tumor","c64293ef-e723-4fe6-8cfa-fe36d07bad81","ENSG00000105639.20","JAK3",1474,8.5672,4.5257,5.5877,"OK"
"TCGA-KIRC","TCGA-CW-5587-11A-01R-1541-07","TCGA-CW-5587","Solid Tissue Normal","efb66622-cf03-4f74-98e5-8c38d87a90f7","ENSG00000105639.20","JAK3",201,1.3075,0.4635,0.493,"OK"
"TCGA-KIRC","TCGA-BP-4326-01A-01R-1289-07","TCGA-BP-4326","Primary Tumor","3f311bca-c591-4dbe-bfb2-fc513259f21c","ENSG00000105639.20","JAK3",2010,16.821,4.8618,6.0847,"OK"
"TCGA-KIRC","TCGA-BP-4329-01A-02R-1289-07","TCGA-BP-4329","Primary Tumor","1c38241a-2cdc-4b93-8845-87182a998ef4","ENSG00000105639.20","JAK3",675,4.3359,1.5677,1.831,"OK"
"TCGA-KIRC","TCGA-B0-4847-01A-01R-1277-07","TCGA-B0-4847","Primary Tumor","7e74a46c-7ff4-4d46-b9a8-b10aa076f448","ENSG00000105639.20","JAK3",2912,20.2038,10.2993,13.3938,"OK"
"TCGA-KIRC","TCGA-A3-3380-01A-01R-0864-07","TCGA-A3-3380","Primary Tumor","9848e118-7372-41e5-8c64-71ec86c9c563","ENSG00000105639.20","JAK3",1401,10.265,3.3106,3.6782,"OK"
"TCGA-KIRC","TCGA-B8-4619-01A-02R-1325-07","TCGA-B8-4619","Primary Tumor","5d1a0224-01c6-4843-baab-12f1a56b767a","ENSG00000105639.20","JAK3",197,1.2536,0.5419,0.6393,"OK"
"TCGA-KIRC","TCGA-A3-3317-01A-02R-1325-07","TCGA-A3-3317","Primary Tumor","2b5b6593-4fe2-4c8a-92c6-5bd5a6c26320","ENSG00000105639.20","JAK3",1425,11.9244,3.7581,3.6614,"OK"
"TCGA-KIRC","TCGA-B0-5711-01A-11R-1672-07","TCGA-B0-5711","Primary Tumor","114e63e4-03a5-409e-835f-afa8af005d03","ENSG00000105639.20","JAK3",2085,17.9987,5.2505,5.2842,"OK"
"TCGA-KIRC","TCGA-B0-5711-11A-01R-1672-07","TCGA-B0-5711","Solid Tissue Normal","8ceb5f0b-cbfb-400d-93b8-df005bb46e31","ENSG00000105639.20","JAK3",252,1.6668,0.5343,0.5288,"OK"
"TCGA-KIRC","TCGA-CZ-4863-11A-01R-1503-07","TCGA-CZ-4863","Solid Tissue Normal","d782f777-5651-47a6-bbb3-4d871a6b3a27","ENSG00000105639.20","JAK3",466,2.7535,0.8532,0.8871,"OK"
"TCGA-KIRC","TCGA-CZ-4863-01A-01R-1503-07","TCGA-CZ-4863","Primary Tumor","4a63eb90-d580-40d0-9136-a7baf34d3627","ENSG00000105639.20","JAK3",2674,22.0022,6.117,5.893,"OK"
"TCGA-KIRC","TCGA-CJ-5671-01A-11R-1541-07","TCGA-CJ-5671","Primary Tumor","86f25e09-9bdb-478d-b929-6f570418af6c","ENSG00000105639.20","JAK3",4131,34.4857,11.2356,12.82,"OK"
"TCGA-KIRC","TCGA-B0-4849-01A-01R-1277-07","TCGA-B0-4849","Primary Tumor","c8134951-c924-4789-93bc-9af9b79933cb","ENSG00000105639.20","JAK3",1405,16.9655,5.5182,5.6503,"OK"
"TCGA-KIRC","TCGA-A3-A6NJ-01A-12R-A33J-07","TCGA-A3-A6NJ","Primary Tumor","36e0d06c-4153-4bc3-b415-3f18306218e3","ENSG00000105639.20","JAK3",1740,16.83,5.0244,4.9072,"OK"
"TCGA-KIRC","TCGA-CZ-5982-01A-11R-1672-07","TCGA-CZ-5982","Primary Tumor","ff21a21b-35fb-423c-896c-c6943dbce540","ENSG00000105639.20","JAK3",989,9.3953,2.5248,2.4341,"OK"
"TCGA-KIRC","TCGA-BP-4789-01A-01R-1305-07","TCGA-BP-4789","Primary Tumor","976e2956-36c4-4451-94bc-19a9e7bb861c","ENSG00000105639.20","JAK3",711,6.0057,1.6747,1.7026,"OK"
"TCGA-KIRC","TCGA-A3-3331-01A-02R-1325-07","TCGA-A3-3331","Primary Tumor","4b758e7e-870c-4b60-8cb6-dac730bd9faf","ENSG00000105639.20","JAK3",856,6.3657,1.9632,1.9687,"OK"
"TCGA-KIRC","TCGA-A3-A8CQ-01A-11R-A37O-07","TCGA-A3-A8CQ","Primary Tumor","9b962201-6959-487b-a125-730322128939","ENSG00000105639.20","JAK3",558,6.9998,1.8186,1.6401,"OK"
"TCGA-KIRC","TCGA-CJ-5684-01A-11R-1541-07","TCGA-CJ-5684","Primary Tumor","d1d341bd-1a8e-4162-a63c-92ecc78e9c82","ENSG00000105639.20","JAK3",1154,9.4252,3.1021,3.3029,"OK"
"TCGA-KIRC","TCGA-A3-3325-01A-01R-0864-07","TCGA-A3-3325","Primary Tumor","131cc059-cc0f-43df-a19e-5f854a769181","ENSG00000105639.20","JAK3",2088,11.6696,3.7859,3.9094,"OK"
"TCGA-KIRC","TCGA-A3-3359-01A-01R-0864-07","TCGA-A3-3359","Primary Tumor","54bccab4-c77e-4848-b698-b62941d96289","ENSG00000105639.20","JAK3",1277,15.2469,4.3144,4.0352,"OK"
"TCGA-KIRC","TCGA-CZ-4856-01A-02R-1426-07","TCGA-CZ-4856","Primary Tumor","89cf5c7f-c4af-4eb6-97a5-cc086fe76bbb","ENSG00000105639.20","JAK3",1695,10.0857,3.3032,3.6571,"OK"
"TCGA-KIRC","TCGA-BP-4331-01A-01R-1289-07","TCGA-BP-4331","Primary Tumor","f462d8a7-549d-4823-be4b-1b5c81678665","ENSG00000105639.20","JAK3",2128,18.3388,5.1384,4.7522,"OK"
"TCGA-KIRC","TCGA-AK-3451-01A-02R-1188-07","TCGA-AK-3451","Primary Tumor","e71c8e45-ab52-4796-ab72-e8add8868291","ENSG00000105639.20","JAK3",267,1.9871,0.9527,1.2744,"OK"
"TCGA-KIRC","TCGA-CJ-4642-01B-01R-1305-07","TCGA-CJ-4642","Primary Tumor","e0f18f8e-b8e0-4bf2-916c-69a38fc64fd8","ENSG00000105639.20","JAK3",298,20.5464,10.624,11.4358,"OK"
"TCGA-KIRC","TCGA-BP-5191-01A-01R-1426-07","TCGA-BP-5191","Primary Tumor","822bf4fe-8d43-47c8-9906-5d38c4a21f27","ENSG00000105639.20","JAK3",3106,13.7625,9.4161,16.6374,"OK"
"TCGA-KIRC","TCGA-B0-5812-01A-11R-1672-07","TCGA-B0-5812","Primary Tumor","adfade14-1572-4e3a-b4eb-64de445b9678","ENSG00000105639.20","JAK3",1114,9.3995,2.61,2.5818,"OK"
"TCGA-KIRC","TCGA-BP-4993-01A-02R-1420-07","TCGA-BP-4993","Primary Tumor","49ddcd56-df4a-4136-a743-c21bb6bfd8a6","ENSG00000105639.20","JAK3",923,7.8411,2.5475,2.6998,"OK"
"TCGA-KIRC","TCGA-DV-5574-01A-01R-1541-07","TCGA-DV-5574","Primary Tumor","79b49079-070b-4b97-80b9-838bbd32f33c","ENSG00000105639.20","JAK3",2566,19.3342,6.1365,6.7482,"OK"
"TCGA-KIRC","TCGA-CZ-4865-01A-02R-1503-07","TCGA-CZ-4865","Primary Tumor","1a9ee264-40bf-4a12-bcee-bd0f989e0798","ENSG00000105639.20","JAK3",1167,6.4535,1.9344,2.0632,"OK"
"TCGA-KIRC","TCGA-BP-4988-01A-01R-1334-07","TCGA-BP-4988","Primary Tumor","e59a58f3-d886-45a8-a296-263297839a63","ENSG00000105639.20","JAK3",9541,81.6626,27.6763,28.213,"OK"
"TCGA-KIRC","TCGA-AK-3455-01A-01R-0864-07","TCGA-AK-3455","Primary Tumor","9fcf3bdd-e137-4f93-83f4-24b883ca62c3","ENSG00000105639.20","JAK3",1876,18.8796,6.0613,6.3634,"OK"
"TCGA-KIRC","TCGA-B0-5694-11A-01R-1541-07","TCGA-B0-5694","Solid Tissue Normal","986759bd-7232-46a9-84f3-0e71026a01fd","ENSG00000105639.20","JAK3",660,4.6571,1.6701,1.7091,"OK"
"TCGA-KIRC","TCGA-B0-4690-01A-01R-1277-07","TCGA-B0-4690","Primary Tumor","0e7e953c-82c3-4887-86b5-584d41cfe518","ENSG00000105639.20","JAK3",4264,37.6009,10.8055,11.583,"OK"
"TCGA-KIRC","TCGA-B0-4700-01A-02R-1541-07","TCGA-B0-4700","Primary Tumor","f34985d8-172b-4fae-8d06-989e7dc4dc06","ENSG00000105639.20","JAK3",4330,33.7195,12.4806,14.7424,"OK"
"TCGA-KIRC","TCGA-CZ-5469-11A-01R-1503-07","TCGA-CZ-5469","Solid Tissue Normal","3bfbdcb6-1e9a-43e9-9015-d55b279dc559","ENSG00000105639.20","JAK3",349,2.2967,0.6944,0.7114,"OK"
"TCGA-KIRC","TCGA-CZ-5989-01A-11R-1672-07","TCGA-CZ-5989","Primary Tumor","afe6bf7f-c463-4077-9c5c-3d00ce6ee8a8","ENSG00000105639.20","JAK3",535,6.557,1.8915,1.8991,"OK"
"TCGA-KIRC","TCGA-BP-4177-01A-02R-1420-07","TCGA-BP-4177","Primary Tumor","7947afe8-e62c-4d32-81d6-5eb44fd1cea6","ENSG00000105639.20","JAK3",873,7.4261,2.0366,2.208,"OK"
"TCGA-KIRC","TCGA-BP-4807-01A-01R-1305-07","TCGA-BP-4807","Primary Tumor","e8871fd9-41a0-4c1f-b44c-ea7beea35ebe","ENSG00000105639.20","JAK3",795,9.1391,2.6276,2.644,"OK"
"TCGA-KIRC","TCGA-A3-3335-01A-01R-0864-07","TCGA-A3-3335","Primary Tumor","8522fa29-c1b0-4e41-9bcb-2e0bc7c8e2d0","ENSG00000105639.20","JAK3",2398,14.6721,5.8008,7.2218,"OK"
"TCGA-KIRC","TCGA-B8-5552-11A-01R-1672-07","TCGA-B8-5552","Solid Tissue Normal","bed26808-c053-4ad1-ba5c-68819d4a6fd1","ENSG00000105639.20","JAK3",1082,10.5973,2.5849,2.4663,"OK"
"TCGA-KIRC","TCGA-CJ-4886-01A-01R-1305-07","TCGA-CJ-4886","Primary Tumor","bd1ebebf-1e32-4c8e-a476-a429bfbc3d46","ENSG00000105639.20","JAK3",1488,13.9286,4.0296,4.0357,"OK"
"TCGA-KIRC","TCGA-DV-5573-01A-01R-1541-07","TCGA-DV-5573","Primary Tumor","1bd902eb-9e76-406a-bfe9-b0b5861bcdfb","ENSG00000105639.20","JAK3",2462,23.4735,7.2026,7.1232,"OK"
"TCGA-KIRC","TCGA-CJ-4900-01A-01R-1334-07","TCGA-CJ-4900","Primary Tumor","9845de96-d57a-4613-89db-6a6c4e2eca4b","ENSG00000105639.20","JAK3",3170,17.5553,10.1695,12.0867,"OK"
"TCGA-KIRC","TCGA-B0-5712-11A-01R-1672-07","TCGA-B0-5712","Solid Tissue Normal","4d6e5f5f-ab63-49a6-9a53-a89b7ef76783","ENSG00000105639.20","JAK3",737,5.5535,1.76,1.8285,"OK"
"TCGA-KIRC","TCGA-CZ-4858-01A-01R-1305-07","TCGA-CZ-4858","Primary Tumor","e4747f6d-4c5c-4d49-886f-2c69fe206879","ENSG00000105639.20","JAK3",3317,36.0539,10.3268,12.1719,"OK"
"TCGA-KIRC","TCGA-B2-5633-01A-01R-A277-07","TCGA-B2-5633","Primary Tumor","bdb74506-8766-42e1-922e-e03da4637a70","ENSG00000105639.20","JAK3",629,4.1069,2.0139,1.8849,"OK"
"TCGA-KIRC","TCGA-B2-5633-01B-04R-A277-07","TCGA-B2-5633","Primary Tumor","307fc027-0530-452b-8fa9-d46f7fc73d0e","ENSG00000105639.20","JAK3",1791,35.481,11.4957,10.2255,"OK"
