"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-CZ-5463",0.8691,4.6427,"EPHB2",0.902343757764018,2.49638564924248,-1.59404189147846
"TCGA-CZ-5465",0.7869,7.1887,"EPHB2",0.83745889932575,3.03363443447698,-2.19617553515123
"TCGA-CZ-5466",1.889,1.7321,"EPHB2",1.53057020390253,1.45001028994711,0.0805599139554223
"TCGA-CZ-5467",0.7038,6.127,"EPHB2",0.768755995221883,2.83329492436692,-2.06453892914504
"TCGA-CZ-5468",5.1584,7.6827,"EPHB2",2.62255557626139,3.11814373747434,-0.495588161212952
"TCGA-CZ-5469",6.7746,4.7141,"EPHB2",2.95876845108101,2.51452628447899,0.444242166602023
"TCGA-CZ-5470",1.3916,5.5736,"EPHB2",1.25797611601076,2.71668367187708,-1.45870755586632
"TCGA-CZ-5982",0.2586,0.8277,"EPHB2",0.331819848022602,0.870029284820997,-0.538209436798395
"TCGA-CZ-5984",3.0197,1.5212,"EPHB2",2.00708783357768,1.33411056784475,0.672977265732923
"TCGA-CZ-5985",2.2724,1.3005,"EPHB2",1.71034910608697,1.20194745644116,0.508401649645812
"TCGA-CZ-5986",1.3244,1.826,"EPHB2",1.21685835977496,1.49876146567185,-0.281903105896892
"TCGA-CZ-5987",0.9427,10.5844,"EPHB2",0.958063131016612,3.53411141837875,-2.57604828736214
"TCGA-CZ-5988",0.6013,0.9703,"EPHB2",0.679243618889072,0.978415312707362,-0.29917169381829
"TCGA-CZ-5989",0.6338,15.6897,"EPHB2",0.708231388215503,4.06088611714916,-3.35265472893366
