"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status","Gene","log2TPM1"
"TCGA-KIRC","TCGA-CW-6097-01A-11R-1672-07","TCGA-CW-6097","Primary Tumor","0cb86c23-556d-4c56-b6cd-96dbbaff1441","ENSG00000133216.17","EPHB2",964,5.7559,1.5243,1.5215,"OK","EPHB2",2.75614797370297
"TCGA-KIRC","TCGA-CJ-4902-01A-01R-1426-07","TCGA-CJ-4902","Primary Tumor","bc8cef4d-5c5c-4d5b-bbbc-553e8940ced1","ENSG00000133216.17","EPHB2",565,1.7705,0.5744,0.6172,"OK","EPHB2",1.47014636704151
"TCGA-KIRC","TCGA-AK-3443-01A-02R-1325-07","TCGA-AK-3443","Primary Tumor","539f5a17-442a-4c07-9606-b8f88c731504","ENSG00000133216.17","EPHB2",2,0.0059,0.0023,0.0026,"OK","EPHB2",0.00848688896549116
"TCGA-KIRC","TCGA-BP-5190-01A-01R-1426-07","TCGA-BP-5190","Primary Tumor","58cdb5fa-ab1d-4b7c-a790-4c81cd86efc4","ENSG00000133216.17","EPHB2",135,0.4016,0.1864,0.2487,"OK","EPHB2",0.487074680051724
"TCGA-KIRC","TCGA-MM-A84U-01A-11R-A37O-07","TCGA-MM-A84U","Primary Tumor","8fc7b6c7-aa50-4a13-a898-35a6bce2d32f","ENSG00000133216.17","EPHB2",387,1.6713,0.739,0.8771,"OK","EPHB2",1.41754200675105
"TCGA-KIRC","TCGA-BP-4335-01A-01R-1289-07","TCGA-BP-4335","Primary Tumor","5fc65294-257d-41eb-83b5-1cb566b1743f","ENSG00000133216.17","EPHB2",73,0.3867,0.1763,0.2107,"OK","EPHB2",0.471655707397641
"TCGA-KIRC","TCGA-BP-4766-01A-01R-1289-07","TCGA-BP-4766","Primary Tumor","4b881bd7-355b-4b47-8c00-41734f8e01d2","ENSG00000133216.17","EPHB2",436,1.6341,0.5087,0.4819,"OK","EPHB2",1.39731011657604
"TCGA-KIRC","TCGA-A3-3374-01A-02R-1325-07","TCGA-A3-3374","Primary Tumor","d499f1d6-3d58-406e-9ed5-98141e774ddc","ENSG00000133216.17","EPHB2",1047,2.707,1.41,2.1717,"OK","EPHB2",1.89025211515707
"TCGA-KIRC","TCGA-A3-3372-01A-02R-1325-07","TCGA-A3-3372","Primary Tumor","fc9e3356-b4e0-46e8-9842-46a2366352de","ENSG00000133216.17","EPHB2",333,1.5912,0.4467,0.4406,"OK","EPHB2",1.37362037324574
"TCGA-KIRC","TCGA-B0-5077-01A-01R-1334-07","TCGA-B0-5077","Primary Tumor","a1f29e81-e426-4cc5-813b-fcf83a595303","ENSG00000133216.17","EPHB2",315,1.0342,0.3566,0.3928,"OK","EPHB2",1.024461530141
"TCGA-KIRC","TCGA-B0-4694-01A-01R-1277-07","TCGA-B0-4694","Primary Tumor","cc4d6b44-ae57-4f0c-affe-ba411b9fba9b","ENSG00000133216.17","EPHB2",502,2.0425,0.675,0.7576,"OK","EPHB2",1.605257262939
