"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BRCA","be10214b-9a03-4556-b28b-5775028c782b","TCGA-AC-A3W7-01A-11R-A22K-07","TCGA-AC-A3W7","Primary Tumor","EPHB2","ENSG00000133216",668,3.136,0.8217,0.7879,"OK"
"TCGA-BRCA","70ea9273-29f3-425a-ba66-5b75db62c9b7","TCGA-B6-A0IE-01A-11R-A034-07","TCGA-B6-A0IE","Primary Tumor","JAK3","ENSG00000105639",267,1.4953,0.6126,0.6858,"OK"
"TCGA-BRCA","70ea9273-29f3-425a-ba66-5b75db62c9b7","TCGA-B6-A0IE-01A-11R-A034-07","TCGA-B6-A0IE","Primary Tumor","EPHB2","ENSG00000133216",151,0.4603,0.1886,0.2111,"OK"
"TCGA-BRCA","06fc39a9-8059-4ac7-9b2b-64f6c7d3b8a1","TCGA-UL-AAZ6-01A-11R-A41B-07","TCGA-UL-AAZ6","Primary Tumor","JAK3","ENSG00000105639",317,2.2706,0.8245,0.9495,"OK"
"TCGA-BRCA","06fc39a9-8059-4ac7-9b2b-64f6c7d3b8a1","TCGA-UL-AAZ6-01A-11R-A41B-07","TCGA-UL-AAZ6","Primary Tumor","EPHB2","ENSG00000133216",706,2.7527,0.9996,1.1511,"OK"
"TCGA-BRCA","4c8d0d1a-dbd3-4124-8458-dfb61f61f11c","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-A2-A0CL","Primary Tumor","JAK3","ENSG00000105639",5052,48.5465,14.6192,13.2635,"OK"
"TCGA-BRCA","4c8d0d1a-dbd3-4124-8458-dfb61f61f11c","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-A2-A0CL","Primary Tumor","EPHB2","ENSG00000133216",2836,14.8345,4.4672,4.053,"OK"
"TCGA-BRCA","b26b27b0-5209-483c-a359-9a5d3ae920e9","TCGA-BH-A6R8-01A-21R-A33J-07","TCGA-BH-A6R8","Primary Tumor","JAK3","ENSG00000105639",375,3.4693,0.9877,0.9558,"OK"
"TCGA-BRCA","b26b27b0-5209-483c-a359-9a5d3ae920e9","TCGA-BH-A6R8-01A-21R-A33J-07","TCGA-BH-A6R8","Primary Tumor","EPHB2","ENSG00000133216",851,4.2856,1.2201,1.1807,"OK"
"TCGA-BRCA","73ac99d6-d01b-45d9-8df2-205610109911","TCGA-AC-A23E-01A-11R-A157-07","TCGA-AC-A23E","Primary Tumor","JAK3","ENSG00000105639",560,4.6046,1.1079,1.2289,"OK"
"TCGA-BRCA","73ac99d6-d01b-45d9-8df2-205610109911","TCGA-AC-A23E-01A-11R-A157-07","TCGA-AC-A23E","Primary Tumor","EPHB2","ENSG00000133216",1135,5.0802,1.2224,1.3558,"OK"
"TCGA-BRCA","2e6baa15-85d7-43b0-8a89-a0dc169ae16a","TCGA-AC-A3HN-01A-11R-A213-07","TCGA-AC-A3HN","Primary Tumor","JAK3","ENSG00000105639",1424,10.6076,2.8298,2.7252,"OK"
"TCGA-BRCA","2e6baa15-85d7-43b0-8a89-a0dc169ae16a","TCGA-AC-A3HN-01A-11R-A213-07","TCGA-AC-A3HN","Primary Tumor","EPHB2","ENSG00000133216",1060,4.2982,1.1466,1.1042,"OK"
"TCGA-BRCA","7b9b6f5f-bd99-421a-a22c-d3fbe110ee73","TCGA-E2-A108-01A-13R-A10J-07","TCGA-E2-A108","Primary Tumor","JAK3","ENSG00000105639",3064,32.2537,9.7011,9.5183,"OK"
"TCGA-BRCA","7b9b6f5f-bd99-421a-a22c-d3fbe110ee73","TCGA-E2-A108-01A-13R-A10J-07","TCGA-E2-A108","Primary Tumor","EPHB2","ENSG00000133216",1241,7.1111,2.1388,2.0985,"OK"
"TCGA-BRCA","7b4d770a-2b8c-4ca5-bf51-c4745c5de39a","TCGA-3C-AALK-01A-11R-A41B-07","TCGA-3C-AALK","Primary Tumor","JAK3","ENSG00000105639",651,6.2209,1.8698,1.9863,"OK"
"TCGA-BRCA","7b4d770a-2b8c-4ca5-bf51-c4745c5de39a","TCGA-3C-AALK-01A-11R-A41B-07","TCGA-3C-AALK","Primary Tumor","EPHB2","ENSG00000133216",507,2.6373,0.7927,0.8421,"OK"
"TCGA-BRCA","934935ae-037b-451d-a696-0679b07bd401","TCGA-BH-A0DP-11A-12R-A089-07","TCGA-BH-A0DP","Solid Tissue Normal","JAK3","ENSG00000105639",532,4.9287,1.3405,1.2805,"OK"
"TCGA-BRCA","934935ae-037b-451d-a696-0679b07bd401","TCGA-BH-A0DP-11A-12R-A089-07","TCGA-BH-A0DP","Solid Tissue Normal","EPHB2","ENSG00000133216",246,1.2406,0.3374,0.3223,"OK"
"TCGA-BRCA","537ec810-35bc-47d8-8242-72ef91cd63e0","TCGA-AO-A0J9-01A-11R-A034-07","TCGA-AO-A0J9","Primary Tumor","JAK3","ENSG00000105639",1197,5.496,2.6037,3.5769,"OK"
"TCGA-BRCA","537ec810-35bc-47d8-8242-72ef91cd63e0","TCGA-AO-A0J9-01A-11R-A034-07","TCGA-AO-A0J9","Primary Tumor","EPHB2","ENSG00000133216",657,1.6421,0.7779,1.0687,"OK"
"TCGA-BRCA","cd417f4e-c065-4e73-a7c7-955b2fe71add","TCGA-A7-A26G-01A-21R-A169-07","TCGA-A7-A26G","Primary Tumor","JAK3","ENSG00000105639",2223,13.8773,3.9061,4.2482,"OK"
"TCGA-BRCA","cd417f4e-c065-4e73-a7c7-955b2fe71add","TCGA-A7-A26G-01A-21R-A169-07","TCGA-A7-A26G","Primary Tumor","EPHB2","ENSG00000133216",13253,45.0352,12.6764,13.7865,"OK"
"TCGA-BRCA","783b4e4f-d65d-4025-a7ce-99a7e86255e9","TCGA-E2-A1IJ-01A-11R-A144-07","TCGA-E2-A1IJ","Primary Tumor","JAK3","ENSG00000105639",806,12.2935,3.5274,3.6924,"OK"
"TCGA-BRCA","783b4e4f-d65d-4025-a7ce-99a7e86255e9","TCGA-E2-A1IJ-01A-11R-A144-07","TCGA-E2-A1IJ","Primary Tumor","EPHB2","ENSG00000133216",600,4.9816,1.4294,1.4962,"OK"
"TCGA-BRCA","280141da-fd54-4901-bc15-5d106c56fb23","TCGA-BH-A0B4-01A-11R-A00Z-07","TCGA-BH-A0B4","Primary Tumor","JAK3","ENSG00000105639",356,4.3546,1.6061,1.7037,"OK"
"TCGA-BRCA","280141da-fd54-4901-bc15-5d106c56fb23","TCGA-BH-A0B4-01A-11R-A00Z-07","TCGA-BH-A0B4","Primary Tumor","EPHB2","ENSG00000133216",670,4.4612,1.6454,1.7454,"OK"
"TCGA-BRCA","81801e72-d293-42e0-8871-5468e33b6d89","TCGA-BH-A0B6-01A-11R-A19W-07","TCGA-BH-A0B6","Primary Tumor","JAK3","ENSG00000105639",1885,16.6001,5.3025,5.6312,"OK"
