"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-BH-A1EN",1.9591,6.1235,"JAK3",1.565158451877,2.83258625691741,-1.26742780504041
"TCGA-BH-A1EO",6.1545,4.4805,"JAK3",2.83885094616565,2.45430751994023,0.384543426225421
"TCGA-BH-A1ET",4.0172,6.4007,"JAK3",2.32688244921584,2.88766173543979,-0.56077928622395
"TCGA-BH-A1EU",13.9515,4.8315,"JAK3",3.90221832406021,2.54386702651599,1.35835129754423
"TCGA-BH-A1EV",3.1652,5.1686,"JAK3",2.05838577100035,2.62494309841204,-0.566557327411684
"TCGA-BH-A1EW",13.7331,6.1179,"JAK3",3.88098911549048,2.83145166444119,1.04953745104929
"TCGA-BH-A1F0",17.7121,4.7296,"JAK3",4.22589957166889,2.51843442377108,1.70746514789781
"TCGA-BH-A1F2",2.4989,4.4354,"JAK3",1.80690143234978,2.44238620945346,-0.635484777103683
"TCGA-BH-A1F6",11.4561,3.8561,"JAK3",3.63878052670059,2.27979813082313,1.35898239587745
"TCGA-BH-A1F8",2.8109,5.7288,"JAK3",1.93013175157781,2.75034924058415,-0.82021748900634
"TCGA-BH-A1FB",15.9307,6.3382,"JAK3",4.08156971759826,2.87542622525641,1.20614349234185
"TCGA-BH-A1FC",8.0924,8.6133,"JAK3",3.18466115372489,3.26503175632628,-0.0803706026013886
"TCGA-BH-A1FD",2.9547,3.2834,"JAK3",1.98356825729526,2.09875640780814,-0.115188150512878
"TCGA-BH-A1FE",19.0944,6.3109,"JAK3",4.32872159540183,2.87004901843666,1.45867257696517
"TCGA-BH-A1FG",1.2783,3.1946,"JAK3",1.18795772949358,2.06853324081271,-0.880575511319134
"TCGA-BH-A1FH",9.8318,5.2843,"JAK3",3.43720110101853,2.6517520536718,0.785449047346729
"TCGA-BH-A1FJ",1.256,4.7054,"JAK3",1.17376706773671,2.51232803599453,-1.33856096825783
"TCGA-BH-A1FM",3.4398,5.3979,"JAK3",2.15049468884858,2.67759844312074,-0.52710375427216
"TCGA-BH-A1FN",3.5772,10.8521,"JAK3",2.194465331638,3.56707079883509,-1.3726054671971
"TCGA-BH-A1FR",5.7331,8.3284,"JAK3",2.75127089189441,3.22162965235098,-0.470358760456571
"TCGA-BH-A1FU",15.2392,10.9993,"JAK3",4.02140865693871,3.58487834105576,0.43653031588295
"TCGA-BH-A203",7.1067,3.7698,"JAK3",3.01911475506972,2.2539287746045,0.765185980465222
"TCGA-BH-A204",1.6965,1.2453,"JAK3",1.43108803384847,1.16690821984245,0.264179814006024
"TCGA-BH-A208",5.7336,3.4642,"JAK3",2.75137802244915,2.15840166259378,0.592976359855378
"TCGA-BH-A209",20.1149,8.6384,"JAK3",4.40018950945041,3.26879367512248,1.13139583432793
"TCGA-E2-A153",4.3121,10.8317,"JAK3",2.40928230559789,3.56458547248437,-1.15530316688648
"TCGA-E2-A158",3.0881,2.9295,"JAK3",2.03143048681848,1.97434575181936,0.0570847349991253
